cfid,spotdate,nvol
AUD_10Y_15Y_N25,2017-01-11,65.63
AUD_10Y_15Y_N25,2017-01-12,65.79
AUD_10Y_15Y_N25,2017-01-13,65.88
AUD_10Y_15Y_N25,2017-01-16,65.92
AUD_10Y_15Y_N25,2017-01-17,65.83
AUD_10Y_15Y_N25,2017-01-18,65.78
AUD_10Y_15Y_N25,2017-01-19,66.12
AUD_10Y_15Y_N25,2017-01-20,65.8
AUD_10Y_15Y_N50,2017-01-03,64.57
AUD_10Y_15Y_N50,2017-01-04,64.33
AUD_10Y_15Y_N50,2017-01-05,64.78
AUD_10Y_15Y_N50,2017-01-06,64.63
AUD_10Y_15Y_N50,2017-01-09,64.73
AUD_10Y_15Y_N50,2017-01-10,64.69
AUD_10Y_15Y_N50,2017-01-11,64.4
AUD_10Y_15Y_N50,2017-01-12,64.52
AUD_10Y_15Y_N50,2017-01-13,64.62
AUD_10Y_15Y_N50,2017-01-16,64.67
AUD_10Y_15Y_N50,2017-01-17,64.57
AUD_10Y_15Y_N50,2017-01-18,64.54
AUD_10Y_15Y_N50,2017-01-19,64.91
AUD_10Y_15Y_N50,2017-01-20,64.62
AUD_10Y_15Y_P100,2017-01-03,71.19
AUD_10Y_15Y_P100,2017-01-04,71.02
AUD_10Y_15Y_P100,2017-01-05,71.59
AUD_10Y_15Y_P100,2017-01-06,71.54
AUD_10Y_15Y_P100,2017-01-09,71.57
AUD_10Y_15Y_P100,2017-01-10,71.56
AUD_10Y_15Y_P100,2017-01-11,71.2
AUD_10Y_15Y_P100,2017-01-12,71.51
AUD_10Y_15Y_P100,2017-01-13,71.54
AUD_10Y_15Y_P100,2017-01-16,71.55
AUD_10Y_15Y_P100,2017-01-17,71.52
AUD_10Y_15Y_P100,2017-01-18,71.38
AUD_10Y_15Y_P100,2017-01-19,71.6
AUD_10Y_15Y_P100,2017-01-20,71.17
AUD_10Y_15Y_P150,2017-01-03,73.16
AUD_10Y_15Y_P150,2017-01-04,73.01
AUD_10Y_15Y_P150,2017-01-05,73.6
AUD_10Y_15Y_P150,2017-01-06,73.59
AUD_10Y_15Y_P150,2017-01-09,73.59
AUD_10Y_15Y_P150,2017-01-10,73.6
AUD_10Y_15Y_P150,2017-01-11,73.22
AUD_10Y_15Y_P150,2017-01-12,73.57
AUD_10Y_15Y_P150,2017-01-13,73.58
AUD_10Y_15Y_P150,2017-01-16,73.58
AUD_10Y_15Y_P150,2017-01-17,73.57
AUD_10Y_15Y_P150,2017-01-18,73.4
AUD_10Y_15Y_P150,2017-01-19,73.59
AUD_10Y_15Y_P150,2017-01-20,73.12
AUD_10Y_15Y_P25,2017-01-03,68.04
AUD_10Y_15Y_P25,2017-01-04,67.84
AUD_10Y_15Y_P25,2017-01-05,68.35
AUD_10Y_15Y_P25,2017-01-06,68.26
AUD_10Y_15Y_P25,2017-01-09,68.32
AUD_10Y_15Y_P25,2017-01-10,68.29
AUD_10Y_15Y_P25,2017-01-11,67.97
AUD_10Y_15Y_P25,2017-01-12,68.19
AUD_10Y_15Y_P25,2017-01-13,68.25
AUD_10Y_15Y_P25,2017-01-16,68.28
AUD_10Y_15Y_P25,2017-01-17,68.22
AUD_10Y_15Y_P25,2017-01-18,68.12
AUD_10Y_15Y_P25,2017-01-19,68.41
AUD_10Y_15Y_P25,2017-01-20,68.05
AUD_10Y_15Y_P50,2017-01-03,69.12
AUD_10Y_15Y_P50,2017-01-04,68.93
AUD_10Y_15Y_P50,2017-01-05,69.46
AUD_10Y_15Y_P50,2017-01-06,69.39
AUD_10Y_15Y_P50,2017-01-09,69.43
AUD_10Y_15Y_P50,2017-01-10,69.42
AUD_10Y_15Y_P50,2017-01-11,69.08
AUD_10Y_15Y_P50,2017-01-12,69.33
AUD_10Y_15Y_P50,2017-01-13,69.38
AUD_10Y_15Y_P50,2017-01-16,69.4
AUD_10Y_15Y_P50,2017-01-17,69.35
AUD_10Y_15Y_P50,2017-01-18,69.24
AUD_10Y_15Y_P50,2017-01-19,69.51
AUD_10Y_15Y_P50,2017-01-20,69.12
AUD_10Y_1Y_AM,2017-01-03,78.63
AUD_10Y_1Y_AM,2017-01-04,77.82
AUD_10Y_1Y_AM,2017-01-05,79.59
AUD_10Y_1Y_AM,2017-01-06,77.81
AUD_10Y_1Y_AM,2017-01-09,78.55
AUD_10Y_1Y_AM,2017-01-10,79.19
AUD_10Y_1Y_AM,2017-01-11,79.26
AUD_10Y_1Y_AM,2017-01-12,80.4
AUD_10Y_1Y_AM,2017-01-13,78.76
AUD_10Y_1Y_AM,2017-01-16,79.98
AUD_10Y_1Y_AM,2017-01-17,80.6
AUD_10Y_1Y_AM,2017-01-18,81.21
AUD_10Y_1Y_AM,2017-01-19,80.33
AUD_10Y_1Y_AM,2017-01-20,80.33
AUD_10Y_1Y_N100,2017-01-03,72.73
AUD_10Y_1Y_N100,2017-01-04,71.88
AUD_10Y_1Y_N100,2017-01-05,73.45
AUD_10Y_1Y_N100,2017-01-06,71.58
AUD_10Y_1Y_N100,2017-01-09,72.35
AUD_10Y_1Y_N100,2017-01-10,73.02
AUD_10Y_1Y_N100,2017-01-11,73.12
AUD_10Y_1Y_N100,2017-01-12,73.9
AUD_10Y_1Y_N100,2017-01-13,72.53
AUD_10Y_1Y_N100,2017-01-16,73.7
AUD_10Y_1Y_N100,2017-01-17,74.26
AUD_10Y_1Y_N100,2017-01-18,75.0
AUD_10Y_1Y_N100,2017-01-19,74.32
AUD_10Y_1Y_N100,2017-01-20,74.35
AUD_10Y_1Y_N150,2017-01-03,69.36
AUD_10Y_1Y_N150,2017-01-04,68.48
AUD_10Y_1Y_N150,2017-01-05,69.93
AUD_10Y_1Y_N150,2017-01-06,67.97
AUD_10Y_1Y_N150,2017-01-09,68.78
AUD_10Y_1Y_N150,2017-01-10,69.47
AUD_10Y_1Y_N150,2017-01-11,69.6
AUD_10Y_1Y_N150,2017-01-12,70.15
AUD_10Y_1Y_N150,2017-01-13,68.94
AUD_10Y_1Y_N150,2017-01-16,70.08
AUD_10Y_1Y_N150,2017-01-17,70.61
AUD_10Y_1Y_N150,2017-01-18,71.43
AUD_10Y_1Y_N150,2017-01-19,70.89
AUD_10Y_1Y_N150,2017-01-20,70.94
AUD_10Y_1Y_N25,2017-01-03,77.24
AUD_10Y_1Y_N25,2017-01-04,76.42
AUD_10Y_1Y_N25,2017-01-05,78.14
AUD_10Y_1Y_N25,2017-01-06,76.35
AUD_10Y_1Y_N25,2017-01-09,77.09
AUD_10Y_1Y_N25,2017-01-10,77.74
AUD_10Y_1Y_N25,2017-01-11,77.81
AUD_10Y_1Y_N25,2017-01-12,78.87
AUD_10Y_1Y_N25,2017-01-13,77.3
AUD_10Y_1Y_N25,2017-01-16,78.5
AUD_10Y_1Y_N25,2017-01-17,79.11
AUD_10Y_1Y_N25,2017-01-18,79.75
AUD_10Y_1Y_N25,2017-01-19,78.91
AUD_10Y_1Y_N25,2017-01-20,78.92
AUD_10Y_1Y_N50,2017-01-03,75.8
AUD_10Y_1Y_N50,2017-01-04,74.97
AUD_10Y_1Y_N50,2017-01-05,76.65
AUD_10Y_1Y_N50,2017-01-06,74.83
AUD_10Y_1Y_N50,2017-01-09,75.58
AUD_10Y_1Y_N50,2017-01-10,76.23
AUD_10Y_1Y_N50,2017-01-11,76.31
AUD_10Y_1Y_N50,2017-01-12,77.29
AUD_10Y_1Y_N50,2017-01-13,75.77
AUD_10Y_1Y_N50,2017-01-16,76.97
AUD_10Y_1Y_N50,2017-01-17,77.56
AUD_10Y_1Y_N50,2017-01-18,78.23
AUD_10Y_1Y_N50,2017-01-19,77.44
AUD_10Y_1Y_N50,2017-01-20,77.46
AUD_10Y_1Y_P100,2017-01-03,83.76
AUD_10Y_1Y_P100,2017-01-04,82.97
AUD_10Y_1Y_P100,2017-01-05,84.9
AUD_10Y_1Y_P100,2017-01-06,83.19
AUD_10Y_1Y_P100,2017-01-09,83.91
AUD_10Y_1Y_P100,2017-01-10,84.52
AUD_10Y_1Y_P100,2017-01-11,84.57
AUD_10Y_1Y_P100,2017-01-12,85.99
AUD_10Y_1Y_P100,2017-01-13,84.14
AUD_10Y_1Y_P100,2017-01-16,85.41
AUD_10Y_1Y_P100,2017-01-17,86.08
AUD_10Y_1Y_P100,2017-01-18,86.6
AUD_10Y_1Y_P100,2017-01-19,85.56
AUD_10Y_1Y_P100,2017-01-20,85.53
AUD_10Y_1Y_P150,2017-01-03,86.12
AUD_10Y_1Y_P150,2017-01-04,85.33
AUD_10Y_1Y_P150,2017-01-05,87.34
AUD_10Y_1Y_P150,2017-01-06,85.65
AUD_10Y_1Y_P150,2017-01-09,86.36
AUD_10Y_1Y_P150,2017-01-10,86.97
AUD_10Y_1Y_P150,2017-01-11,87.01
AUD_10Y_1Y_P150,2017-01-12,88.55
AUD_10Y_1Y_P150,2017-01-13,86.6
AUD_10Y_1Y_P150,2017-01-16,87.9
AUD_10Y_1Y_P150,2017-01-17,88.59
AUD_10Y_1Y_P150,2017-01-18,89.08
AUD_10Y_1Y_P150,2017-01-19,87.96
AUD_10Y_1Y_P150,2017-01-20,87.93
AUD_10Y_1Y_P25,2017-01-03,79.98
AUD_10Y_1Y_P25,2017-01-04,79.17
AUD_10Y_1Y_P25,2017-01-05,80.98
AUD_10Y_1Y_P25,2017-01-06,79.22
AUD_10Y_1Y_P25,2017-01-09,79.96
AUD_10Y_1Y_P25,2017-01-10,80.59
AUD_10Y_1Y_P25,2017-01-11,80.65
AUD_10Y_1Y_P25,2017-01-12,81.86
AUD_10Y_1Y_P25,2017-01-13,80.17
AUD_10Y_1Y_P25,2017-01-16,81.4
AUD_10Y_1Y_P25,2017-01-17,82.03
AUD_10Y_1Y_P25,2017-01-18,82.62
AUD_10Y_1Y_P25,2017-01-19,81.7
AUD_10Y_1Y_P25,2017-01-20,81.69
AUD_10Y_1Y_P50,2017-01-03,81.28
AUD_10Y_1Y_P50,2017-01-04,80.47
AUD_10Y_1Y_P50,2017-01-05,82.33
AUD_10Y_1Y_P50,2017-01-06,80.59
AUD_10Y_1Y_P50,2017-01-09,81.31
AUD_10Y_1Y_P50,2017-01-10,81.94
AUD_10Y_1Y_P50,2017-01-11,82.0
AUD_10Y_1Y_P50,2017-01-12,83.28
AUD_10Y_1Y_P50,2017-01-13,81.53
AUD_10Y_1Y_P50,2017-01-16,82.78
AUD_10Y_1Y_P50,2017-01-17,83.42
AUD_10Y_1Y_P50,2017-01-18,83.99
AUD_10Y_1Y_P50,2017-01-19,83.02
AUD_10Y_1Y_P50,2017-01-20,83.01
AUD_10Y_20Y_AM,2017-01-03,61.26
AUD_10Y_20Y_AM,2017-01-04,61.4
AUD_10Y_20Y_AM,2017-01-05,61.26
AUD_10Y_20Y_AM,2017-01-06,59.51
AUD_10Y_20Y_AM,2017-01-09,61.59
AUD_10Y_20Y_AM,2017-01-10,61.58
AUD_10Y_20Y_AM,2017-01-11,61.25
AUD_10Y_20Y_AM,2017-01-12,61.87
AUD_10Y_20Y_AM,2017-01-13,61.52
AUD_10Y_20Y_AM,2017-01-16,61.54
AUD_10Y_20Y_AM,2017-01-17,61.54
